t_sec,t_min,STROKE_SPEED,LUBRICATION,PRESS_FORCE
1360.0,22.666666666666668,25.000000249998546,3.500000034998521,-836.5449940402283
1370.0,22.833333333333332,25.000000249998525,3.500000034998498,-840.6747262794244
1380.0,23.0,25.0000002499985,3.5000000349984735,-844.7407788319975
1390.0,23.166666666666668,25.000000249998475,3.500000034998448,-848.7441336266188
1400.0,23.333333333333332,25.000000249998447,3.500000034998421,-852.6857574508053
1410.0,23.5,25.000000249998422,3.500000034998393,-856.5666021843944
1420.0,23.666666666666668,25.00000024999839,3.5000000349983633,-860.3876050294172
1430.0,23.833333333333332,25.00000024999836,3.500000034998332,-864.1496887364273
1440.0,24.0,25.000000249998326,3.500000034998298,-867.8537618273406
1450.0,24.166666666666668,25.000000249998294,3.500000034998263,-871.500718814837
1460.0,24.333333333333332,25.000000249998255,3.500000034998225,-875.0914404183815
1470.0,24.5,25.000000249998216,3.5000000349981857,-878.6267937769117
1480.0,24.666666666666668,25.000000249998173,3.500000034998143,-882.1076326582474
1490.0,24.833333333333332,25.00000024999813,3.5000000349980978,-885.5347976652715
1500.0,25.0,25.00000024999808,3.5000000349980493,-888.9091164389296
1510.0,25.166666666666668,25.00000024999803,3.5000000349979974,-892.2314038581012
1520.0,25.333333333333332,25.000000249997978,3.500000034997942,-895.5024622363883
1530.0,25.5,25.000000249997917,3.500000034997882,-898.7230815158696
1540.0,25.666666666666668,25.000000249997854,3.5000000349978175,-901.894039457867
1550.0,25.833333333333332,25.000000249997786,3.5000000349977474,-905.0161018307706
1560.0,26.0,25.00000024999771,3.500000034997672,-908.0900225949676
1570.0,26.166666666666668,25.00000024999763,3.5000000349975893,-911.1165440849188
1580.0,26.333333333333332,25.00000024999754,3.500000034997499,-914.0963971884289
1590.0,26.5,25.000000249997445,3.5000000349974005,-917.0303015231514
1600.0,26.666666666666668,25.00000024999734,3.5000000349972917,-919.9189656103724
1610.0,26.833333333333332,25.00000024999722,3.5000000349971714,-922.7630870461143
1620.0,27.0,25.00000024999709,3.5000000349970373,-925.5633526696013
1630.0,27.166666666666668,25.00000024999694,3.5000000349968876,-928.3204387291274
1640.0,27.333333333333332,25.000000249996774,3.500000034996719,-931.0350110453663
1650.0,27.5,25.000000249996585,3.5000000349965275,-933.7077251721634
1660.0,27.666666666666668,25.000000249996372,3.5000000349963085,-936.339226554848
1670.0,27.833333333333332,25.000000249996123,3.500000034996056,-938.9301506861057
1680.0,28.0,25.000000249995832,3.500000034995761,-941.481123259445
1690.0,28.166666666666668,25.00000024999549,3.500000034995412,-943.9927603202999
1700.0,28.333333333333332,25.00000024999508,3.500000034994993,-946.4656684148002
1710.0,28.5,25.000000249994574,3.5000000349944806,-948.9004447362503
1720.0,28.666666666666668,25.000000249993946,3.50000003499384,-951.297677269347
1730.0,28.833333333333332,25.000000249993136,3.500000034993016,-953.6579449321746
1740.0,29.0,25.000000249992056,3.5000000349919165,-955.9818177160108
1750.0,29.166666666666668,25.000000249990542,3.5000000349903773,-958.2698568229762
1760.0,29.333333333333332,25.000000249988272,3.5000000349880676,-960.5226148015612
1770.0,29.5,25.000000249984488,3.5000000349842173,-962.7406356800641
1780.0,29.666666666666668,25.00000024997692,3.5000000349765155,-964.9244550979702
1790.0,29.833333333333332,25.000000249954212,3.500000034953407,-967.0746004353078
